year,month,day,hour,atm.tmp,atm.rhv,atm.tdew,atm.prss,atm.vdir,atm.vels,rain,rshort.in
2007,1,1,0,21.8,96,21.1,962.3,30,1.1,0,NA
2007,1,1,1,21.9,96,21.2,962.4,10,1.9,0,NA
2007,1,1,2,22.1,93,20.9,962.3,1,2.3,0,NA
2007,1,1,3,22.2,92,20.8,962.4,14,1.8,0,NA
2007,1,1,4,22.2,92,20.9,962.7,269,0.4,0,NA
2007,1,1,5,22,94,21,962.1,14,2.4,0,NA
2007,1,1,6,22.1,95,21.3,961.6,45,1.5,0,NA
2007,1,1,7,22.1,95,21.2,961.5,4,2.8,0,NA
2007,1,1,8,22.1,95,21.2,961.6,351,1.5,0,NA
2007,1,1,9,22.1,95,21.2,961.8,359,2.2,0,NA
2007,1,1,10,22.9,92,21.6,962.4,322,0.5,0,205.3
2007,1,1,11,24.7,87,22.5,962.9,319,1.9,0,936.4
2007,1,1,12,26.4,76,21.8,963.5,322,2.7,0,1831.5
2007,1,1,13,27.5,72,22,963.7,335,2.8,0,2132.2
2007,1,1,14,28,70,21.9,963.2,322,2.5,0,2334.7
2007,1,1,15,29.2,73,23.9,962.3,299,3.4,0,2206.8
