ipft,key,name,iallom,tropical,savannah,conifer,grass,liana,pathway,rho,SLA,hgt.ref,b1Ht,b2Ht,b1Bl,b2Bl,b1Bs.small,b2Bs.small,b1Bs.large,b2Bs.large,qroot,qsw,qbark,hgt.min,hgt.max,dbh.min,dbh.crit,bdead.crit
12,ESV,Early savannah,2,TRUE,TRUE,FALSE,FALSE,FALSE,3,0.53,16.0179385221953,61.7,0.0352,0.694,0.417891055856782,0.97494935,0.166215388247796,2.432361,0.171515959671558,2.4255736,1,0.00410716372363981,0,0.5,35,0.121182722636311,96.2578089649901,5547.19632931601
13,MSV,Mid savannah,2,TRUE,TRUE,FALSE,FALSE,FALSE,3,0.71,11.6448211976991,61.7,0.0352,0.694,0.559816320110028,0.97494935,0.222665897464028,2.432361,0.229766662956238,2.4255736,1,0.00298585158915362,0,0.5,35,0.121182722636311,96.2578089649901,7431.14979964975
14,LSV,Late Savannah,2,TRUE,TRUE,FALSE,FALSE,FALSE,3,0.9,9.66341977026859,61.7,0.0352,0.694,0.709626321266233,0.97494935,0.282252546081163,2.432361,0.2912535164234,2.4255736,1,0.00247779994109451,0,0.5,35,0.121182722636311,96.2578089649901,9419.76735166869
15,ARC,Araucaria,2,TRUE,FALSE,TRUE,FALSE,FALSE,3,0.52,6.324555,61.7,0.0352,0.694,0.410006318953824,0.97494935,0.163079248846894,2.432361,0.168279809489075,2.4255736,1,0.00162168076923077,0,0.5,35,0.121182722636311,96.2578089649901,5442.5322476308
16,C3G,C3 grass,2,TRUE,FALSE,FALSE,TRUE,FALSE,3,0.2,22.7,61.7,0.0352,0.694,0.157694738059163,0.97494935,0.0627227880180362,2.432361,0.0647230036496444,2.4255736,1,0.00582051282051282,0,0.5,1.5,0.121182722636311,0.597139899491996,0.00894811536759577
17,LNA,Liana,2,TRUE,FALSE,FALSE,FALSE,TRUE,3,0.59,17.8795397089298,61.7,0.0352,0.694,0.0856,2,0.2749,2.69373,0.2749,2.69373,1,0.00458449736126406,0,0.5,35,0.121182722636311,96.2578089649901,30268.1393669979
1,C4G,C4 grass,3,TRUE,FALSE,FALSE,TRUE,FALSE,4,0.2,22.7,NA,1.139963,0.564899,0.0206033215859031,0.6410495,1.66682009125783e-06,0.6410495,1.66682009125783e-06,0.6410495,1,1E-05,0,0.5,1.5,0.038967672720458,0.272469472385343,2.0406265165329e-07
2,ETR,Early tropical,3,TRUE,FALSE,FALSE,FALSE,FALSE,3,0.53,16.0179385221953,NA,1.139963,0.564899,0.0291982266851591,0.6410495,0.0321342727312073,1.0044785,0.0321342727312073,1.0044785,1,0.278356585516419,0.0103292238564291,0.5,46,0.038967672720458,116.696162125978,10684.9069549354
3,MTR,Mid tropical,3,TRUE,FALSE,FALSE,FALSE,FALSE,3,0.71,11.6448211976991,NA,1.139963,0.564899,0.0401633818209602,0.6410495,0.0431042055915042,1.0044785,0.0431042055915042,1.0044785,1,0.271087930191279,0.0100594994385595,0.5,46,0.038967672720458,116.696162125978,14332.4988234244
4,LTR,Late tropical,3,TRUE,FALSE,FALSE,FALSE,FALSE,3,0.9,9.66341977026859,NA,1.139963,0.564899,0.0483985391423186,0.6410495,0.0546971906538173,1.0044785,0.0546971906538173,1.0044785,1,0.285162466990384,0.0105817757159603,0.5,46,0.038967672720458,116.696162125978,18187.2606148893
